XAUJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/11/2025 12:00,655933.0,657006.0,655627.0,656640.0,707.0,0.11,
12/11/2025 11:00,657283.0,657502.0,655898.0,655967.0,-1316.0,-0.20,
12/11/2025 10:00,657481.0,658462.0,656439.0,657280.0,-201.0,-0.03,
12/11/2025 09:00,657312.0,657976.0,656580.0,657502.0,190.0,0.03,
12/11/2025 08:00,657810.0,657967.0,656793.0,657316.0,-494.0,-0.08,
12/11/2025 07:00,657314.0,657863.0,656687.0,657790.0,476.0,0.07,
12/11/2025 06:00,656613.0,657978.0,656145.0,657271.0,658.0,0.10,
12/11/2025 05:00,656579.0,657167.0,655863.0,656594.0,15.0,0.00,
12/11/2025 04:00,656420.0,656848.0,655612.0,656592.0,172.0,0.03,
12/11/2025 03:00,657621.0,657936.0,655165.0,656458.0,-1163.0,-0.18,
12/11/2025 02:00,659893.0,660165.0,656774.0,657683.0,-2210.0,-0.34,
12/11/2025 01:00,660099.0,661470.0,658583.0,659905.0,-194.0,-0.03,
12/11/2025 00:00,659132.0,660685.0,658775.0,660107.0,975.0,0.15,
12/10/2025 23:00,659847.0,660058.0,657997.0,659142.0,-705.0,-0.11,
12/10/2025 22:00,659947.8,659947.8,659947.8,659947.8,0.0,0.00,
12/10/2025 21:00,659457.0,660120.0,658374.0,659680.0,223.0,0.03,
12/10/2025 20:00,658823.0,660127.0,658202.0,659823.0,1000.0,0.15,
12/10/2025 19:00,655944.0,659222.0,655825.0,656535.0,591.0,0.09,
